	OTU1	OTU2	OTU3	OTU26	OTU6	OTU8	OTU5	OTU16	OTU33	OTU20	OTU7	OTU41	OTU13	OTU93	OTU10	OTU51	OTU31	OTU29	OTU28	OTU11	OTU18	OTU39	OTU36	OTU59	OTU32	OTU60	OTU74	OTU128	OTU25	OTU67	OTU81	OTU113	OTU68	OTU24	OTU52	OTU71	OTU19	OTU89	OTU53	OTU12	OTU34	OTU78	OTU50	OTU40	OTU57	OTU37	OTU48	OTU175	OTU124	OTU115	OTU97	OTU80	OTU82	OTU90	OTU100	OTU83	OTU121	OTU94	OTU159	OTU111	OTU92	OTU43	OTU72	OTU55	OTU64	OTU134	OTU112	OTU215	OTU180	OTU137	OTU178	OTU227	OTU282	OTU73	OTU119	OTU214	OTU176	OTU247	OTU135	OTU185	OTU183	OTU75	OTU77	OTU250	OTU271	OTU84	OTU42	OTU35	OTU91	OTU191	OTU238	OTU147	OTU129	OTU87	OTU148	OTU164	OTU85	OTU179	OTU257	OTU127	OTU118	OTU110	OTU224	OTU117	OTU228	OTU388	OTU38	OTU186	OTU217	OTU160	OTU174	OTU95	OTU306	OTU281	OTU165	OTU131	OTU138	OTU395	OTU420	OTU143	OTU298	OTU361	OTU490	OTU239	OTU253	OTU171	OTU289	OTU475	OTU194	OTU255	OTU216	OTU234	OTU241	OTU277	OTU150	OTU213	OTU392	OTU226	OTU525	OTU331	OTU570	OTU283	OTU394	OTU326	OTU163	OTU387	OTU367	OTU187	OTU339	OTU412	OTU322	OTU648	OTU158	OTU252	OTU739	OTU505	OTU855	OTU938	OTU949	OTU985	OTU993	OTU1051
OTU1	0	0	0	0	0	0	0	0	0	0	0	0	0.844441826	0	0	0	0.88882922	0	0	0.842277927	0.885666101	0	0.853179389	0	0	0	0	0	0.797841216	0.795075856	0	0	0	0.817994687	0.856169121	0	0.86985607	0	0.836956731	0	0	0	0	0.868488357	0.756883817	0	0	0	0	0	0	0.775106236	0	0.854776391	0.806251059	0.822016819	0	0.779316699	0	0.752312334	0.861100066	0.730637803	0.834097825	0.765755597	0	0	0	0	0	0.812369601	0	0	0	0.883410012	0	0	0	0	0	0	0	0.799288048	0.758034659	0	0	0.785984827	0.77017177	0.742119254	0.812072093	0.78090743	0	0	0.858007189	0.718779839	0	0	0.720796234	0	0	0	0	0	0	0	0	0	0	0	0	0.781244962	0.765623152	0	0	0	0	0	0	0	0	0.779427898	0	0	0	0	0.746623043	0.755953333	0	0	0	0.718285311	0.741995738	0	0.753963558	0	0.709530359	0	0	0.736314429	0	0	0	0	0	0	0.722362374	0	0	0.722272587	0.714285586	0	0.71442268	0	0	0	0	0	0	0	0	0	0	0
OTU2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.810099331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3	0	0	0	0	0	0	0.843347973	0	0	0	0	0	0	0	0	0	0.734002331	0	0.769927857	0.703453458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.705291151	0	0	0	0	0	0	0	0	-0.721831714	0	0	0	0	0	0	0.707105232	0	0	0	0	0	0	0	0	0	0	0	0	0	0.756048613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.720625645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU26	0	0	0	0	-0.726007387	0.802284827	0	0	0	0	-0.736177682	0	0	0.815749382	0	0.760215201	0	0	0	0	0	0	0	0	0	0	0	0.729606554	0	0	0	0.808880361	0	0	0	0	0	0	0	0	0	0	-0.776920873	0	-0.734284795	0	0	0.773504755	0.706843411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.801366316	0	0	0	0	0	0	0.731492051	0	0	0	0.73944671	0.775800105	0	0	0	0	0	0.781799623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702510626	0	0	0	0.70762516	0	0	0	0	0.740961558	0	0	0	0.717673026	0	0	0	0	0	0.764676696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU6	0	0	0	-0.726007387	0	-0.780933746	0	0.718579715	0	0	0.90525578	0	0	-0.713353734	0.72887437	-0.734162941	0	0	0	0	0	0.792392244	0	-0.70975632	0	0	0	0	0	0	0	-0.739856938	-0.717574538	0	0	0	0	0.854141534	0	0	0	0.78873134	0.798364197	0	0	0	0	-0.713889479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.861267813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714667838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU8	0	0	0	0.802284827	-0.780933746	0	0	0	0	0.774096634	-0.7204765	0	0	0.829884534	0	0.889580159	0	0	0	0	0	0	0	0.853115214	0	0	0	0.817498328	0	0	0	0.850546754	0	0	0	-0.721600595	0	0	0	0	0	0	-0.817937086	0	-0.713656665	0	0	0.836345218	0.7981371	0	0.729668329	0	0	0	0	0	0.729992032	0	0	0	0	0	0	0	0	0	0	0	0	0	0.838058235	0	0	0	0	0	0.82697373	0	0	0.823567229	0.792088307	0	0	0.812656361	0.747206716	0	0	0	0	0	0.832963308	0	0	0	0	0	0	0	0.749102034	0	0	0	0	0	0.774956006	0	0	0	0.801807848	0	0	0	0.776497167	0	0	0	0	0.741908172	0	0	0.751677761	0.807664309	0.717240344	0	0	0	0	0.722026548	-0.719164272	0	0	0	0	0	0	0	0.71437957	0	0	0	0	0	0.741232114	0.717225648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5	0	0	0.843347973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.722721712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU16	0	0	0	0	0.718579715	0	0	0	0	0	0	0.758370507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.776254169	0	0	0.732008638	0	0	0	0	0	0.760214732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.704172002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.726808336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72036704	0	0.707485596	0	0	0	0	0
OTU33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.703879375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.721004707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20	0	0	0	0	0	0.774096634	0	0	0	0	0	0	0	0	0	0.736662335	0	0	0	0	0	0	0	0.738166198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.748389675	0	0	0	0	0	0.742073326	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725698147	0	0	0	0	0	0	0	0	0	0.71035632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.701686815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.701392375	0	0	0	0	0.702020336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725986166	0.726529161	0	0.717775195	0	0	0	0.70656964	0	0	0	0	0	0	0	0	0	0	0	0
