	JMYZ_W1	JMYZ_W2	JMYZ_W3	JMYZ_W4	JMYZ_W5	JMYZ_W6	JMYZ_C1	JMYZ_C2	JMYZ_C3	JMYZ_C4	JMYZ_C5	JMYZ_C6	JMYZ_SC1	JMYZ_SC2	JMYZ_SC3	JMYZ_SC4	JMYZ_SC5	JMYZ_SC6	JMYZ_SC7	JMYZ_SC8	JMYZ_SC9	QY_W1	QY_W2	QY_W3	QY_W4	QY_W5	QY_W6	QY_W7	QY_W8	QY_C1	QY_C2	QY_C3	QY_C4	QY_C5	QY_C6	QY_C7	QY_C8	QY_SC1	QY_SC2	QY_SC3	QY_SC4	QY_SC5	QY_SC6	QY_SC7	QY_SC8	QY_SC9	TGL_W1	TGL_W2	TGL_W3	TGL_W4	TGL_W5	TGL_W6	TGL_W7	TGL_W8	TGL_W9	TGL_W10	TGL_W11	TGL_C1	TGL_C2	TGL_C3	TGL_C4	TGL_C5	TGL_C6	TGL_C7	TGL_C8	TGL_C9	TGL_C10	TGL_C11	TGL_SC1	TGL_SC2	TGL_SC3	TGL_SC4	TGL_SC5	TGL_SC6	TGL_SC7	TGL_SC8	PL_W1	PL_W2	PL_W4	PL_W5	PL_W6	PL_W7	PL_W8	PL_C1	PL_C2	PL_C4	PL_C5	PL_C6	PL_C7	PL_C8	PL_SC1	PL_SC2	PL_SC3	PL_SC4	PL_SC5	PL_SC6	PL_SC7	PL_SC8	PL_SC9	PL_SC10	PL_SC11
OTU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	12	3	1	7	2	6	6	2207	1763	1299	2349	2311	2821	2778	1942	2424	2243	2564	3122	1045	2776	2874	2825	2651	0	0	0	14	8	0	0	2	2	2	41	1748	5200	2615	2387	3503	3213	4571	4054	3652	4276	5125	7692	5528	5361	4156	5124	4224	3546	3313	10	15	9	14	11	5	10	2	7	12	14	0	146	47	24	57	42	51	52	24	58	26	20	688	40
OTU2	1527	1551	85	679	875	69	325	215	43	167	102	100	110	216	52	124	198	249	52	763	210	3855	2933	815	340	318	416	738	950	874	684	607	562	590	964	932	687	632	978	1073	1035	352	1174	662	605	965	296	754	1024	1466	742	2061	949	372	321	998	539	674	1026	1323	968	682	812	645	901	712	722	791	994	1177	1095	707	1041	923	1154	1023	1158	2822	513	1442	648	183	673	223	218	157	109	124	186	294	181	274	256	212	212	149	291	42	46	301	102
OTU3	0	0	0	0	0	0	13	12	68	54	278	129	67	14	24	573	157	574	0	101	81	8	0	0	0	0	0	0	0	2180	1184	1658	1496	1650	1473	1512	1951	2097	2569	2165	1747	507	1836	1122	1505	1199	0	0	0	0	0	0	0	0	0	0	0	630	928	1627	1820	1974	2096	1191	1454	1065	1355	737	166	562	454	744	638	316	313	796	7	27	5	9	1	3	6	1641	560	769	614	124	435	760	46	115	88	218	238	138	70	20	17	2374	530
OTU26	0	2239	0	625	2	7	5906	5755	5386	6567	1244	7002	4667	3322	2861	979	957	609	61	4961	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	131	5	39	49	0	9	167	335	493	522	302	89	76	5	92	19	3	5	3	48	0	0	1	6
OTU6	15	25	14	21	14	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2536	3870	2967	1372	1546	1769	2836	3095	74	140	137	154	99	185	175	103	97	91	89	61	104	94	134	134	121	3861	1160	2986	2943	3261	1858	2689	3392	2345	2405	1503	241	156	144	69	104	81	109	181	188	122	137	126	117	109	70	153	113	128	136	15	24	28	33	25	14	22	1	0	0	0	0	3	4	6	11	3	6	11	6	7	10	4	20	10
OTU8	0	0	0	0	3	0	678	1046	2738	1658	4373	1307	878	1716	4471	4020	2584	2271	54	371	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	83	16	54	71	8	19	2960	3699	2337	2484	3437	1490	3047	23	90	59	172	507	236	1909	25	38	16	547
OTU5	0	8	0	9	0	16	84	72	26	17	55	11	25	48	35	110	81	123	12	4	3	6	0	6	0	0	0	0	0	591	347	426	391	460	621	523	332	583	579	688	573	330	697	776	547	620	0	0	0	0	4	0	0	0	0	0	0	979	232	984	1565	468	380	235	393	351	173	338	203	425	738	286	401	581	966	520	6	16	14	22	11	5	3	329	409	720	886	327	260	180	310	3356	4126	1370	540	54	310	24	22	447	56
OTU16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1257	126	669	511	45	1023	1716	122	9	0	5	0	5	9	10	0	0	0	0	0	0	0	0	0	8	954	215	2405	4827	2524	89	1193	3238	356	5130	6898	5	35	24	0	6	0	23	11	5	6	18	13	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU33	197	4	1	10	1337	146	63	10	0	12	184	71	36	831	16	329	857	1786	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	3510	248	593	3019	1734	5089	375	180	9	7	57	295	1101	5	5	5	7	19	6	9	3	1	3	77
OTU20	0	0	0	0	0	0	0	0	155	196	763	30	24	59	170	356	339	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	31	6	10	7	1683	1924	2308	2191	2848	3410	911	0	325	226	69	497	20	516	8	0	37	14
